Precinct,Timothy D. Wood,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 3-B,297,297,0,313,610
TR 3-C,242,242,0,228,470
TR 3-D,362,362,0,321,683
TR 4-A,396,396,0,274,670
TR 4-B,310,310,0,253,563
TR 4-C,276,276,0,173,449
TR 4-D,278,278,0,192,470
UN-A,249,249,0,230,479
UN-B,359,359,0,358,717
UN-C,389,389,0,409,798
UN-D,468,468,0,376,844
UN-E,389,389,0,438,827
VD-A,341,341,0,375,716
VD-B,251,251,0,194,445
VD-C,414,414,0,424,838
VD-D,384,384,0,357,741
VD-E,271,271,0,279,550
VD-F,452,452,0,398,850
VD-G,294,294,0,369,663
VD-H,461,461,0,444,905
VD-I,356,356,0,398,754
VD-J,458,458,0,494,952
VD-K,482,482,0,396,878
WASTWP-A,355,355,0,423,778
WASTWP-B,554,554,0,532,1086
WASTWP-C,404,404,0,491,895
WASTWP-D,324,324,0,333,657
WASTWP-E,468,468,0,452,920
WASTWP-F,316,316,0,285,601
WASTWP-G,494,494,0,506,1000
WASTWP-H,389,389,0,420,809
WASTWP-I,349,349,0,324,673
WASTWP-J,433,433,0,435,868
WASTWP-K,396,396,0,423,819
WASTWP-L,346,346,0,382,728
WASTWP-M,444,444,0,493,937
WASTWP-N,448,448,0,396,844
WASTWP-O,425,425,0,456,881
WASTWP-P,494,494,0,496,990
WASTWP-Q,485,485,0,485,970
WASTWP-R,391,391,0,320,711
WASTWP-S,333,333,0,409,742
WASTWP-T,367,367,0,373,740
WASTWP-U,424,424,0,455,879
WASTWP-V,397,397,0,443,840
WASTWP-W,293,293,0,302,595
WASTWP-X,377,377,0,332,709
WASTWP-Y,573,573,0,535,1108
WASTWP-Z,393,393,0,367,760
WASTWP-AA,392,392,0,436,828
WASTWP-BB,323,323,0,301,624
WASTWP-CC,454,454,0,574,1028
WCR-A,332,332,0,371,703
WCR-B,357,357,0,379,736
WCR-C,357,357,0,397,754
WCR-D,342,342,0,394,736
WCR-E,252,252,0,228,480
WCR-F,284,284,0,287,571
WCR-G,373,373,0,382,755
WCR-H,330,330,0,387,717
WCR-I,282,282,0,237,519
