Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 3-G,420,234,654,0,23,677
KT 3-H,490,271,761,0,46,807
KT 3-I,462,200,662,0,23,685
KT 3-J,462,190,652,0,19,671
KT 3-K,589,318,907,0,37,944
KT 4-A,693,198,891,0,29,920
KT 4-B,734,174,908,0,30,938
KT 4-C,339,199,538,0,25,563
KT 4-D,556,228,784,0,30,814
KT 4-E,480,206,686,0,43,729
KT 4-F,549,207,756,0,13,769
KT 4-G,661,307,968,0,25,993
KT 4-H,422,215,637,0,38,675
KT 4-I,622,192,814,0,31,845
KT 4-J,565,158,723,0,40,763
KT 4-K,549,211,760,0,28,788
MBG 1-A,453,398,851,0,47,898
MBG 1-B,389,409,798,0,58,856
MBG 1-C,431,310,741,0,35,776
MBG 2-A,335,233,568,0,42,610
MBG 2-B,395,358,753,0,53,806
MBG 2-C,417,408,825,0,35,860
MBG 3-A,304,262,566,1,29,596
MBG 3-B,414,335,749,0,45,794
MBG 3-C,371,269,640,0,51,691
MBG 3-D,407,391,798,2,41,841
MBG 4-A,342,356,698,0,42,740
MBG 4-B,360,271,631,0,29,660
MBG 4-C,302,262,564,0,33,597
MBG 4-D,509,547,1056,0,42,1098
MIATWP-A,453,314,767,0,47,814
MIATWP-B,437,235,672,0,44,716
MIATWP-C,325,469,794,0,46,840
MIATWP-D,404,264,668,0,40,708
MIATWP-E,495,438,933,0,37,970
MIATWP-F,458,247,705,0,49,754
MIATWP-G,383,246,629,0,50,679
MIATWP-H,388,268,656,0,46,702
MIATWP-I,260,133,393,0,35,428
MIATWP-J,243,414,657,0,40,697
MIATWP-K,490,401,891,0,46,937
MIATWP-L,344,239,583,0,29,612
MIATWP-M,398,259,657,0,42,699
MIATWP-N,463,308,771,0,30,801
MIATWP-O,400,305,705,0,44,749
MIATWP-P,358,131,489,0,34,523
MIATWP-Q,490,260,750,0,45,795
MIATWP-R,258,141,399,0,28,427
MIATWP-S,356,351,707,0,43,750
MIATWP-T,360,221,581,0,44,625
MIATWP-U,366,196,562,0,37,599
MIATWP-V,401,284,685,0,49,734
MOR 1-A,240,195,435,0,26,461
MOR 2-A,426,362,788,0,44,832
MOR 3-A,224,264,488,0,39,527
MOR 4-A,270,164,434,0,33,467
MOR 4-B,256,99,355,0,28,383
OAK-A,619,187,806,0,26,832
OAK-B,619,189,808,0,19,827
OAK-C,524,141,665,0,15,680
OAK-D,537,131,668,0,15,683
OAK-E,542,148,690,0,11,701
OAK-F,674,169,843,0,26,869
OAK-G,549,177,726,0,27,753
OAK-H,453,136,589,0,21,610
PERTWP-A,199,384,583,0,15,598
PERTWP-B,257,377,634,0,18,652
PERTWP-C,243,493,736,1,31,768
PHBG,98,131,229,0,8,237
PM,320,158,478,0,48,526
PNLB,242,263,505,0,26,531
RV-A,362,268,630,0,37,667
RV-B,266,251,517,0,43,560
RV-C,414,237,651,0,57,708
RV-D,334,332,666,0,62,728
RV-E,278,287,565,0,54,619
RV-F,363,195,558,0,43,601
RV-G,268,224,492,1,43,536
RV-H,200,110,310,0,50,360
RV-I,272,209,481,0,45,526
RV-J,238,233,471,0,41,512
RV-K,383,276,659,0,31,690
RV-L,182,196,378,0,42,420
RV-M,351,315,666,0,48,714
RV-N,252,206,458,0,64,522
RV-O,343,314,657,0,59,716
RV-P,417,306,723,1,32,756
TR 1-A,446,241,687,1,45,733
TR 1-B,234,147,381,0,25,406
TR 1-C,338,145,483,1,49,533
TR 1-D,290,122,412,0,28,440
TR 1-E,480,210,690,2,38,730
TR 2-A,410,168,578,0,34,612
TR 2-B,492,177,669,1,39,709
TR 2-C,373,103,476,0,42,518
TR 2-D,267,142,409,0,20,429
TR 2-E,355,121,476,0,28,504
TR 3-A,272,174,446,0,26,472
TR 3-B,308,264,572,0,37,609
TR 3-C,263,169,432,0,37,469
TR 3-D,432,204,636,0,45,681
TR 4-A,436,200,636,0,33,669
TR 4-B,377,146,523,0,39,562
TR 4-C,301,112,413,0,36,449
TR 4-D,291,140,431,1,35,467
UN-A,263,191,454,0,23,477
UN-B,374,313,687,1,28,716
UN-C,437,335,772,0,26,798
UN-D,468,344,812,1,30,843
