Precinct,Helen Wallace,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 4-J,406,406,0,385,791
KT 4-K,405,405,0,495,900
MBG 1-A,410,410,0,449,859
MBG 1-B,406,406,0,370,776
MBG 1-C,432,432,0,381,813
MBG 2-A,281,281,0,329,610
MBG 2-B,387,387,0,420,807
MBG 2-C,407,407,0,454,861
MBG 3-A,301,301,0,295,596
MBG 3-B,369,369,0,426,795
MBG 3-C,346,346,0,349,695
MBG 3-D,411,411,0,432,843
MBG 4-A,359,359,0,381,740
MBG 4-B,313,313,0,349,662
MBG 4-C,299,299,0,298,597
MBG 4-D,546,546,0,554,1100
MIATWP-A,387,387,0,429,816
MIATWP-B,336,336,0,382,718
MIATWP-C,362,362,0,479,841
MIATWP-D,316,316,0,393,709
MIATWP-E,465,465,0,506,971
MIATWP-F,420,420,0,335,755
MIATWP-G,331,331,0,349,680
MIATWP-H,358,358,0,345,703
MIATWP-I,211,211,0,218,429
MIATWP-J,286,286,0,411,697
MIATWP-K,447,447,0,492,939
MIATWP-L,281,281,0,335,616
MIATWP-M,377,377,0,324,701
MIATWP-N,401,401,0,400,801
MIATWP-O,378,378,0,372,750
MIATWP-P,279,279,0,245,524
MIATWP-Q,425,425,0,371,796
MIATWP-R,219,219,0,209,428
MIATWP-S,345,345,0,406,751
MIATWP-T,299,299,0,326,625
MIATWP-U,305,305,0,298,603
MIATWP-V,349,349,0,388,737
MOR 1-A,214,214,0,250,464
MOR 2-A,425,425,0,409,834
MOR 3-A,231,231,0,296,527
MOR 4-A,239,239,0,228,467
MOR 4-B,203,203,0,181,384
OAK-A,440,440,0,393,833
OAK-B,431,431,0,396,827
OAK-C,339,339,0,342,681
OAK-D,358,358,0,326,684
OAK-E,356,356,0,346,702
OAK-F,471,471,0,398,869
OAK-G,397,397,0,357,754
OAK-H,299,299,0,311,610
PERTWP-A,244,244,0,354,598
PERTWP-B,294,294,0,359,653
PERTWP-C,306,306,0,462,768
PHBG,121,121,0,116,237
PM,287,287,0,240,527
PNLB,252,252,0,279,531
RV-A,334,334,0,336,670
RV-B,249,249,0,311,560
RV-C,352,352,0,356,708
RV-D,316,316,0,412,728
RV-E,291,291,0,329,620
RV-F,309,309,0,292,601
RV-G,263,263,0,276,539
RV-H,182,182,0,180,362
RV-I,244,244,0,282,526
RV-J,269,269,0,243,512
RV-K,344,344,0,347,691
RV-L,196,196,0,225,421
RV-M,382,382,0,334,716
RV-N,257,257,0,265,522
RV-O,353,353,0,364,717
RV-P,410,410,0,347,757
TR 1-A,421,421,0,313,734
TR 1-B,223,223,0,183,406
TR 1-C,310,310,0,225,535
TR 1-D,283,283,0,157,440
TR 1-E,442,442,0,289,731
TR 2-A,375,375,0,237,612
TR 2-B,411,411,0,298,709
TR 2-C,307,307,0,212,519
TR 2-D,246,246,0,185,431
TR 2-E,311,311,0,195,506
TR 3-A,252,252,0,220,472
TR 3-B,296,296,0,314,610
TR 3-C,241,241,0,229,470
TR 3-D,369,369,0,314,683
TR 4-A,406,406,0,264,670
TR 4-B,315,315,0,248,563
TR 4-C,278,278,0,171,449
TR 4-D,278,278,0,192,470
UN-A,251,251,0,228,479
UN-B,355,355,0,362,717
UN-C,374,374,0,424,798
UN-D,457,457,0,387,844
UN-E,382,382,0,445,827
VD-A,338,338,0,378,716
VD-B,245,245,0,200,445
VD-C,412,412,0,426,838
VD-D,383,383,0,358,741
VD-E,267,267,0,283,550
VD-F,435,435,0,415,850
VD-G,293,293,0,370,663
VD-H,450,450,0,455,905
VD-I,362,362,0,392,754
VD-J,451,451,0,501,952
VD-K,466,466,0,412,878
WASTWP-A,358,358,0,420,778
WASTWP-B,545,545,0,541,1086
WASTWP-C,423,423,0,472,895
WASTWP-D,322,322,0,335,657
WASTWP-E,456,456,0,464,920
WASTWP-F,312,312,0,289,601
WASTWP-G,491,491,0,509,1000
WASTWP-H,388,388,0,421,809
WASTWP-I,347,347,0,326,673
WASTWP-J,452,452,0,416,868
WASTWP-K,383,383,0,436,819
WASTWP-L,343,343,0,385,728
WASTWP-M,441,441,0,496,937
WASTWP-N,453,453,0,391,844
WASTWP-O,422,422,0,459,881
WASTWP-P,503,503,0,487,990
WASTWP-Q,487,487,0,483,970
WASTWP-R,386,386,0,325,711
WASTWP-S,324,324,0,418,742
WASTWP-T,377,377,0,363,740
WASTWP-U,426,426,0,453,879
WASTWP-V,395,395,0,445,840
WASTWP-W,302,302,0,293,595
WASTWP-X,371,371,0,338,709
WASTWP-Y,579,579,0,529,1108
WASTWP-Z,385,385,0,375,760
WASTWP-AA,388,388,0,440,828
WASTWP-BB,315,315,0,309,624
WASTWP-CC,455,455,0,573,1028
WCR-A,330,330,0,373,703
WCR-B,351,351,0,385,736
WCR-C,353,353,0,401,754
WCR-D,322,322,0,414,736
WCR-E,254,254,0,226,480
WCR-F,292,292,0,279,571
WCR-G,374,374,0,381,755
WCR-H,326,326,0,391,717
WCR-I,277,277,0,242,519
