Precinct,Jennifer A. Petrella,Total Votes Cast,Overvotes,Undervotes,Contest Total
MIATWP-Q,390,390,0,406,796
MIATWP-R,209,209,0,219,428
MIATWP-S,347,347,0,404,751
MIATWP-T,290,290,0,335,625
MIATWP-U,294,294,0,309,603
MIATWP-V,358,358,0,379,737
MOR 1-A,213,213,0,251,464
MOR 2-A,406,406,0,428,834
MOR 3-A,228,228,0,299,527
MOR 4-A,216,216,0,251,467
MOR 4-B,180,180,0,204,384
OAK-A,386,386,0,447,833
OAK-B,406,406,0,421,827
OAK-C,284,284,0,397,681
OAK-D,313,313,0,371,684
OAK-E,300,300,0,402,702
OAK-F,400,400,0,469,869
OAK-G,349,349,0,405,754
OAK-H,276,276,0,334,610
PERTWP-A,247,247,0,351,598
PERTWP-B,280,280,0,373,653
PERTWP-C,321,321,0,447,768
PHBG,123,123,0,114,237
PM,275,275,0,252,527
PNLB,241,241,0,290,531
RV-A,315,315,0,355,670
RV-B,255,255,0,305,560
RV-C,330,330,0,378,708
RV-D,314,314,0,414,728
RV-E,276,276,0,344,620
RV-F,285,285,0,316,601
RV-G,248,248,0,291,539
RV-H,172,172,0,190,362
RV-I,240,240,0,286,526
RV-J,273,273,0,239,512
RV-K,329,329,0,362,691
RV-L,198,198,0,223,421
RV-M,369,369,0,347,716
RV-N,247,247,0,275,522
RV-O,327,327,0,390,717
RV-P,388,388,0,369,757
TR 1-A,328,328,0,406,734
TR 1-B,158,158,0,248,406
TR 1-C,203,203,0,332,535
TR 1-D,191,191,0,249,440
TR 1-E,304,304,0,427,731
TR 2-A,262,262,0,350,612
TR 2-B,279,279,0,430,709
TR 2-C,180,180,0,339,519
TR 2-D,182,182,0,249,431
TR 2-E,184,184,0,322,506
TR 3-A,202,202,0,270,472
TR 3-B,271,271,0,339,610
TR 3-C,200,200,0,270,470
TR 3-D,261,261,0,422,683
TR 4-A,255,255,0,415,670
TR 4-B,228,228,0,335,563
TR 4-C,196,196,0,253,449
TR 4-D,212,212,0,258,470
UN-A,243,243,0,236,479
UN-B,353,353,0,364,717
UN-C,386,386,0,412,798
UN-D,437,437,0,407,844
UN-E,391,391,0,436,827
VD-A,336,336,0,380,716
VD-B,253,253,0,192,445
VD-C,421,421,0,417,838
VD-D,373,373,0,368,741
VD-E,284,284,0,266,550
VD-F,434,434,0,416,850
VD-G,290,290,0,373,663
VD-H,451,451,0,454,905
VD-I,364,364,0,390,754
VD-J,450,450,0,502,952
VD-K,471,471,0,407,878
WASTWP-A,374,374,0,404,778
WASTWP-B,553,553,0,533,1086
WASTWP-C,392,392,0,503,895
WASTWP-D,315,315,0,342,657
WASTWP-E,434,434,0,486,920
WASTWP-F,288,288,0,313,601
WASTWP-G,455,455,0,545,1000
WASTWP-H,363,363,0,446,809
WASTWP-I,326,326,0,347,673
WASTWP-J,399,399,0,469,868
WASTWP-K,357,357,0,462,819
WASTWP-L,301,301,0,427,728
WASTWP-M,433,433,0,504,937
WASTWP-N,403,403,0,441,844
WASTWP-O,397,397,0,484,881
WASTWP-P,495,495,0,495,990
WASTWP-Q,484,484,0,486,970
WASTWP-R,381,381,0,330,711
WASTWP-S,335,335,0,407,742
WASTWP-T,351,351,0,389,740
WASTWP-U,446,446,0,433,879
WASTWP-V,372,372,0,468,840
WASTWP-W,270,270,0,325,595
WASTWP-X,359,359,0,350,709
WASTWP-Y,551,551,0,557,1108
WASTWP-Z,393,393,0,367,760
WASTWP-AA,373,373,0,455,828
WASTWP-BB,295,295,0,329,624
WASTWP-CC,430,430,0,598,1028
WCR-A,332,332,0,371,703
WCR-B,351,351,0,385,736
WCR-C,373,373,0,381,754
WCR-D,338,338,0,398,736
WCR-E,228,228,0,252,480
WCR-F,257,257,0,314,571
WCR-G,356,356,0,399,755
WCR-H,357,357,0,360,717
WCR-I,260,260,0,259,519
