Precinct,Robert Hanseman (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
MIATWP-C,648,648,0,193,841
MIATWP-D,445,445,0,264,709
MIATWP-E,650,650,0,321,971
MIATWP-F,489,489,0,266,755
MIATWP-G,459,459,0,221,680
MIATWP-H,449,449,0,254,703
MIATWP-I,255,255,0,174,429
MIATWP-J,527,527,0,170,697
MIATWP-K,630,630,0,309,939
MIATWP-L,390,390,0,226,616
MIATWP-M,470,470,0,231,701
MIATWP-N,523,523,0,278,801
MIATWP-O,497,497,0,253,750
MIATWP-P,328,328,0,196,524
MIATWP-Q,491,491,0,305,796
MIATWP-R,273,273,0,155,428
MIATWP-S,541,541,0,210,751
MIATWP-T,408,408,0,217,625
MIATWP-U,376,376,0,227,603
MIATWP-V,504,504,0,233,737
MOR 1-A,326,326,0,138,464
MOR 2-A,569,569,0,265,834
MOR 3-A,355,355,0,172,527
MOR 4-A,281,281,0,186,467
MOR 4-B,193,193,0,191,384
OAK-A,436,436,0,397,833
OAK-B,494,494,0,333,827
OAK-C,325,325,0,356,681
OAK-D,357,357,0,327,684
OAK-E,317,317,0,385,702
OAK-F,419,419,0,450,869
OAK-G,392,392,0,362,754
OAK-H,349,349,0,261,610
PERTWP-A,465,465,0,133,598
PERTWP-B,503,503,0,150,653
PERTWP-C,582,582,0,186,768
PHBG,184,184,0,53,237
PM,360,360,0,167,527
PNLB,397,397,0,134,531
RV-A,467,467,0,203,670
RV-B,390,390,0,170,560
RV-C,468,468,0,240,708
RV-D,524,524,0,204,728
RV-E,464,464,0,156,620
RV-F,380,380,0,221,601
RV-G,377,377,0,162,539
RV-H,240,240,0,122,362
RV-I,363,363,0,163,526
RV-J,367,367,0,145,512
RV-K,437,437,0,254,691
RV-L,320,320,0,101,421
RV-M,494,494,0,222,716
RV-N,348,348,0,174,522
RV-O,481,481,0,236,717
RV-P,519,519,0,238,757
TR 1-A,313,313,0,421,734
TR 1-B,170,170,0,236,406
TR 1-C,137,137,0,398,535
TR 1-D,140,140,0,300,440
TR 1-E,202,202,0,529,731
TR 2-A,203,203,0,409,612
TR 2-B,218,218,0,491,709
TR 2-C,133,133,0,386,519
TR 2-D,185,185,0,246,431
TR 2-E,147,147,0,359,506
TR 3-A,234,234,0,238,472
TR 3-B,383,383,0,227,610
TR 3-C,235,235,0,235,470
TR 3-D,235,235,0,448,683
TR 4-A,175,175,0,495,670
TR 4-B,194,194,0,369,563
TR 4-C,158,158,0,291,449
TR 4-D,148,148,0,322,470
UN-A,347,347,0,132,479
UN-B,505,505,0,212,717
UN-C,587,587,0,211,798
UN-D,602,602,0,242,844
UN-E,600,600,0,227,827
VD-A,502,502,0,214,716
VD-B,340,340,0,105,445
VD-C,617,617,0,221,838
VD-D,504,504,0,237,741
VD-E,402,402,0,148,550
VD-F,582,582,0,268,850
VD-G,458,458,0,205,663
VD-H,673,673,0,232,905
VD-I,540,540,0,214,754
VD-J,672,672,0,280,952
VD-K,632,632,0,246,878
WASTWP-A,510,510,0,268,778
WASTWP-B,731,731,0,355,1086
WASTWP-C,560,560,0,335,895
WASTWP-D,429,429,0,228,657
WASTWP-E,592,592,0,328,920
WASTWP-F,362,362,0,239,601
WASTWP-G,623,623,0,377,1000
WASTWP-H,514,514,0,295,809
WASTWP-I,401,401,0,272,673
WASTWP-J,533,533,0,335,868
WASTWP-K,533,533,0,286,819
WASTWP-L,412,412,0,316,728
WASTWP-M,617,617,0,320,937
WASTWP-N,485,485,0,359,844
WASTWP-O,560,560,0,321,881
WASTWP-P,672,672,0,318,990
WASTWP-Q,603,603,0,367,970
WASTWP-R,502,502,0,209,711
WASTWP-S,470,470,0,272,742
WASTWP-T,432,432,0,308,740
WASTWP-U,602,602,0,277,879
WASTWP-V,528,528,0,312,840
WASTWP-W,351,351,0,244,595
WASTWP-X,474,474,0,235,709
WASTWP-Y,699,699,0,409,1108
WASTWP-Z,488,488,0,272,760
WASTWP-AA,517,517,0,311,828
WASTWP-BB,377,377,0,247,624
WASTWP-CC,618,618,0,410,1028
WCR-A,470,470,0,233,703
WCR-B,492,492,0,244,736
WCR-C,540,540,0,214,754
WCR-D,500,500,0,236,736
WCR-E,273,273,0,207,480
WCR-F,351,351,0,220,571
WCR-G,467,467,0,288,755
WCR-H,499,499,0,218,717
WCR-I,286,286,0,233,519
