Precinct,Andrew J. Shahan (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 3-A,321,321,0,151,472
TR 3-B,356,356,0,254,610
TR 3-C,307,307,0,163,470
TR 3-D,557,557,0,126,683
TR 4-A,583,583,0,87,670
TR 4-B,477,477,0,86,563
TR 4-C,384,384,0,65,449
TR 4-D,398,398,0,72,470
UN-A,273,273,0,206,479
UN-B,404,404,0,313,717
UN-C,447,447,0,351,798
UN-D,502,502,0,342,844
UN-E,421,421,0,406,827
VD-A,390,390,0,326,716
VD-B,252,252,0,193,445
VD-C,433,433,0,405,838
VD-D,432,432,0,309,741
VD-E,280,280,0,270,550
VD-F,468,468,0,382,850
VD-G,346,346,0,317,663
VD-H,475,475,0,430,905
VD-I,379,379,0,375,754
VD-J,478,478,0,474,952
VD-K,500,500,0,378,878
WASTWP-A,397,397,0,381,778
WASTWP-B,600,600,0,486,1086
WASTWP-C,488,488,0,407,895
WASTWP-D,364,364,0,293,657
WASTWP-E,544,544,0,376,920
WASTWP-F,330,330,0,271,601
WASTWP-G,553,553,0,447,1000
WASTWP-H,428,428,0,381,809
WASTWP-I,430,430,0,243,673
WASTWP-J,525,525,0,343,868
WASTWP-K,443,443,0,376,819
WASTWP-L,417,417,0,311,728
WASTWP-M,485,485,0,452,937
WASTWP-N,545,545,0,299,844
WASTWP-O,482,482,0,399,881
WASTWP-P,567,567,0,423,990
WASTWP-Q,588,588,0,382,970
WASTWP-R,426,426,0,285,711
WASTWP-S,400,400,0,342,742
WASTWP-T,463,463,0,277,740
WASTWP-U,486,486,0,393,879
WASTWP-V,425,425,0,415,840
WASTWP-W,350,350,0,245,595
WASTWP-X,399,399,0,310,709
WASTWP-Y,665,665,0,443,1108
WASTWP-Z,423,423,0,337,760
WASTWP-AA,440,440,0,388,828
WASTWP-BB,361,361,0,263,624
WASTWP-CC,564,564,0,464,1028
WCR-A,376,376,0,327,703
WCR-B,385,385,0,351,736
WCR-C,376,376,0,378,754
WCR-D,385,385,0,351,736
WCR-E,332,332,0,148,480
WCR-F,338,338,0,233,571
WCR-G,442,442,0,313,755
WCR-H,364,364,0,353,717
WCR-I,372,372,0,147,519
