Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
ENG-G,952,292,0,0.3067
ENG-H,770,210,0,0.2727
ENG-I,731,196,0,0.2681
ENG-J,907,227,0,0.2503
FARM,700,228,0,0.3257
GERTWP-A1,862,268,0,0.3109
GERTWP-A2,124,37,0,0.2984
GERTWP-A3,143,53,0,0.3706
GERTWP-B1,1084,324,0,0.2989
GERTWP-B2,46,12,0,0.2609
GTN-A,1051,300,0,0.2854
GTN-B,977,147,0,0.1505
GTN-C1,938,284,0,0.3028
GTN-C2,0,0,0,0
GTN-D1,1078,236,0,0.2189
GTN-D2,0,0,0,0
HARTWP-A,715,98,0,0.1371
HARTWP-B,857,137,0,0.1599
HARTWP-C,1158,99,1,0.0855
HARTWP-D,1058,313,0,0.2958
HARTWP-E,547,65,0,0.1188
HARTWP-F,542,128,0,0.2362
HARTWP-G,864,189,0,0.2188
HARTWP-H,1036,179,0,0.1728
HARTWP-I,923,137,0,0.1484
HARTWP-J,842,214,0,0.2542
HARTWP-K,1079,124,0,0.1149
HARTWP-L,998,341,1,0.3417
HARTWP-M,1094,374,1,0.3419
HARTWP-N,761,122,0,0.1603
HARTWP-O,1113,277,0,0.2489
HUB 1-A,1072,195,0,0.1819
HUB 1-B,1291,324,0,0.251
HUB 1-C,1180,189,0,0.1602
HUB 1-D1,1178,251,0,0.2131
HUB 1-D2,2,0,0,0
HUB 2-A,1100,262,0,0.2382
HUB 2-B,1114,302,1,0.2711
HUB 3-A,806,204,0,0.2531
HUB 3-B,1021,121,0,0.1185
HUB 3-C,818,174,0,0.2127
HUB 3-D,1180,228,0,0.1932
HUB 3-E,955,158,0,0.1654
HUB 4-A,1111,197,0,0.1773
HUB 4-B,1045,195,0,0.1866
HUB 4-C,1181,195,0,0.1651
HUB 4-D,1114,201,0,0.1804
HUB 5-A,1072,182,0,0.1698
HUB 5-B1,1127,198,0,0.1757
HUB 5-B2,2,0,0,0
HUB 5-C,1057,196,0,0.1854
HUB 5-D,1120,167,0,0.1491
HUB 6-A,881,203,0,0.2304
HUB 6-B,1162,299,0,0.2573
HUB 6-C,1107,292,0,0.2638
HUB 6-D,1043,247,0,0.2368
JAKTWP-A1,648,198,0,0.3056
JAKTWP-A2,482,179,0,0.3714
JAKTWP-B1,776,286,0,0.3686
JAKTWP-B2,0,0,0,0
JEFTWP-A1,1033,360,0,0.3485
JEFTWP-A2,114,40,0,0.3509
JEFTWP-A3,65,8,0,0.1231
JEFTWP-B1,406,58,0,0.1429
JEFTWP-B2,258,54,0,0.2093
JEFTWP-B3,197,11,0,0.0558
JEFTWP-B4,106,45,0,0.4245
JEFTWP-C1,875,349,1,0.3989
JEFTWP-C2,5,0,0,0
JEFTWP-D,1017,279,0,0.2743
JNLB-A1,651,160,0,0.2458
JNLB-A2,2,1,0,0.5
JNLB-B,980,241,0,0.2459
KT 1-A,938,181,0,0.193
KT 1-B,845,167,0,0.1976
KT 1-C,1188,280,0,0.2357
KT 1-D,1293,261,0,0.2019
KT 1-E1,744,141,0,0.1895
KT 1-E2,184,80,0,0.4348
KT 1-F,885,218,0,0.2463
KT 1-G,923,192,0,0.208
KT 1-H,1033,221,0,0.2139
KT 1-I,1053,254,0,0.2412
KT 2-A,1083,249,0,0.2299
KT 2-B,897,325,0,0.3623
KT 2-C,980,296,0,0.302
KT 2-D,1108,269,0,0.2428
KT 2-E,1039,278,0,0.2676
KT 2-F,824,216,0,0.2621
KT 2-G,1200,378,0,0.315
KT 2-H,1120,343,0,0.3063
KT 2-I,807,277,0,0.3432
KT 2-J,766,126,0,0.1645
KT 3-A,1036,291,0,0.2809
KT 3-B,1061,340,0,0.3205
KT 3-C,917,349,1,0.3806
KT 3-D,1074,162,0,0.1508
KT 3-E,1039,292,0,0.281
KT 3-F,857,224,0,0.2614
KT 3-G,801,286,0,0.3571
KT 3-H,998,296,0,0.2966
KT 3-I1,799,313,0,0.3917
KT 3-I2,6,2,0,0.3333
KT 3-I3,7,0,0,0
KT 3-J,756,353,0,0.4669
KT 3-K,1136,382,0,0.3363
KT 4-A,1107,438,0,0.3957
KT 4-B,1202,407,0,0.3386
KT 4-C,697,224,0,0.3214
KT 4-D,1049,367,0,0.3499
KT 4-E,939,273,0,0.2907
KT 4-F,922,349,0,0.3785
KT 4-G,1157,492,0,0.4252
KT 4-H,877,176,0,0.2007
KT 4-I,1058,352,0,0.3327
KT 4-J,997,315,0,0.3159
KT 4-K,931,301,0,0.3233
MBG 1-A1,1061,319,0,0.3007
MBG 1-A2,0,0,0,0
MBG 1-A3,5,1,0,0.2
MBG 1-B1,1146,259,0,0.226
MBG 1-B2,7,0,0,0
MBG 1-C,1046,319,0,0.305
MBG 2-A1,846,198,0,0.234
MBG 2-A2,11,0,0,0
MBG 2-B,1128,192,0,0.1702
MBG 2-C,1155,274,0,0.2372
MBG 3-A,809,172,0,0.2126
MBG 3-B,943,294,0,0.3118
MBG 3-C,1002,229,1,0.2285
MBG 3-D,1153,276,0,0.2394
MBG 4-A,985,269,3,0.2731
MBG 4-B,805,267,0,0.3317
MBG 4-C,748,224,0,0.2995
MBG 4-D,1331,407,1,0.3058
MIATWP-A,1175,190,0,0.1617
MIATWP-B,1014,143,0,0.141
MIATWP-C,1114,233,0,0.2092
MIATWP-D1,1073,146,0,0.1361
MIATWP-D2,57,27,0,0.4737
MIATWP-E,1100,355,0,0.3227
MIATWP-F,1051,152,0,0.1446
MIATWP-G,916,124,0,0.1354
MIATWP-H,1046,131,0,0.1252
MIATWP-I,632,97,0,0.1535
MIATWP-J1,683,227,0,0.3324
MIATWP-J2,192,66,0,0.3438
MIATWP-J3,1,0,0,0
MIATWP-K,1152,260,0,0.2257
MIATWP-L1,789,168,0,0.2129
MIATWP-L2,0,0,0,0
MIATWP-M,955,180,0,0.1885
MIATWP-N1,748,233,0,0.3115
MIATWP-N2,234,44,0,0.188
MIATWP-O,922,245,0,0.2657
MIATWP-P,916,84,1,0.0917
MIATWP-Q,1205,166,0,0.1378
MIATWP-R,623,91,0,0.1461
MIATWP-S,931,278,0,0.2986
MIATWP-T1,2,0,0,0
MIATWP-T2,764,180,0,0.2356
MIATWP-T3,0,0,0,0
MIATWP-U,818,118,0,0.1443
MIATWP-V,1078,122,0,0.1132
MOR 1-A1,513,34,0,0.0663
MOR 1-A2,212,29,0,0.1368
MOR 2-A1,927,163,0,0.1758
MOR 2-A2,248,68,0,0.2742
MOR 3-A1,797,121,0,0.1518
MOR 3-A2,0,0,0,0
MOR 4-A,665,76,0,0.1143
MOR 4-B,698,46,0,0.0659
OAK-A,1018,375,0,0.3684
OAK-B,962,434,0,0.4511
OAK-C,843,351,0,0.4164
OAK-D,814,352,0,0.4324
OAK-E,874,367,0,0.4199
OAK-F,1041,482,0,0.463
OAK-G,896,385,0,0.4297
OAK-H,760,314,0,0.4132
PERTWP-A1,573,173,0,0.3019
PERTWP-A2,97,49,0,0.5052
PERTWP-B1,705,235,0,0.3333
PERTWP-B2,73,19,0,0.2603
PERTWP-C,900,265,0,0.2944
PHBG,317,89,0,0.2808
PM,1086,58,0,0.0534
PNLB1,750,122,0,0.1627
PNLB2,0,0,0,0
RV-A,807,252,0,0.3123
RV-B1,718,131,0,0.1825
RV-B2,50,10,0,0.2
RV-C,1155,206,0,0.1784
RV-D,886,255,0,0.2878
RV-E1,998,168,0,0.1683
RV-E2,24,3,0,0.125
RV-F,793,194,0,0.2446
RV-G,697,173,0,0.2482
RV-H,594,69,0,0.1162
RV-I,721,150,0,0.208
RV-J,692,184,0,0.2659
RV-K1,833,248,0,0.2977
RV-K2,0,0,0,0
RV-L1,541,65,0,0.1201
RV-L2,116,38,0,0.3276
RV-M,958,214,0,0.2234
RV-N,887,113,0,0.1274
RV-O,928,208,0,0.2241
RV-P,983,239,0,0.2431
TR 1-A1,974,250,0,0.2567
TR 1-A2,33,11,0,0.3333
TR 1-B1,455,149,0,0.3275
TR 1-B2,72,22,0,0.3056
TR 1-C,792,236,0,0.298
TR 1-D,761,140,0,0.184
TR 1-E,1030,282,0,0.2738
TR 2-A,937,206,0,0.2199
TR 2-B,1102,188,0,0.1706
TR 2-C1,652,139,0,0.2132
TR 2-C2,191,40,0,0.2094
TR 2-D1,422,90,0,0.2133
TR 2-D2,191,53,0,0.2775
TR 2-E,664,222,0,0.3343
TR 3-A,726,125,0,0.1722
TR 3-B1,640,120,0,0.1875
TR 3-B2,217,24,0,0.1106
TR 3-C1,491,80,0,0.1629
TR 3-C2,328,31,0,0.0945
TR 3-D,1056,214,0,0.2027
TR 4-A,977,242,0,0.2477
TR 4-B,1034,167,1,0.1615
TR 4-C,777,95,0,0.1223
TR 4-D1,258,45,0,0.1744
TR 4-D2,415,141,0,0.3398
UN-A,624,165,0,0.2644
UN-B,913,288,0,0.3154
UN-C1,670,221,0,0.3299
UN-C2,308,91,0,0.2955
UN-C3,5,1,0,0.2
UN-D,1087,361,0,0.3321
UN-E,1147,268,0,0.2337
VD-A,1033,169,0,0.1636
VD-B,594,109,0,0.1835
VD-C,1052,253,0,0.2405
VD-D,952,277,0,0.291
VD-E,746,152,0,0.2038
VD-F,1112,322,0,0.2896
VD-G,791,263,0,0.3325
VD-H,1044,360,0,0.3448
VD-I,935,256,0,0.2738
VD-J,1209,407,0,0.3366
VD-K,1172,219,0,0.1869
WASTWP-A,912,253,0,0.2774
WASTWP-B,1269,289,0,0.2277
WASTWP-C,1010,301,0,0.298
WASTWP-D,791,219,0,0.2769
WASTWP-E,1090,300,0,0.2752
WASTWP-F,678,213,0,0.3142
WASTWP-G,1167,338,0,0.2896
WASTWP-H,931,270,0,0.29
WASTWP-I,917,160,0,0.1745
WASTWP-J,1151,229,0,0.199
WASTWP-K,1009,249,0,0.2468
WASTWP-L,975,161,0,0.1651
WASTWP-M,1070,265,0,0.2477
WASTWP-N,1080,168,0,0.1556
WASTWP-O,1172,220,0,0.1877
WASTWP-P,1192,221,0,0.1854
WASTWP-Q,1329,226,0,0.1701
WASTWP-R,845,200,0,0.2367
WASTWP-S,853,214,1,0.2509
WASTWP-T,990,173,0,0.1747
WASTWP-U,1009,268,0,0.2656
WASTWP-V,970,249,0,0.2567
WASTWP-W,782,153,0,0.1957
WASTWP-X,836,211,0,0.2524
WASTWP-Y,1407,295,0,0.2097
WASTWP-Z,900,255,0,0.2833
WASTWP-AA,945,295,0,0.3122
WASTWP-BB,765,169,0,0.2209
WASTWP-CC,1147,312,0,0.272
WCR-A1,953,122,0,0.128
WCR-A2,40,9,0,0.225
WCR-A3,0,0,0,0
WCR-B,971,174,0,0.1792
WCR-C,1002,188,0,0.1876
WCR-D,922,211,0,0.2289
WCR-E,821,88,0,0.1072
WCR-F,854,93,0,0.1089
WCR-G,938,196,1,0.209
WCR-H,959,145,0,0.1512
WCR-I,949,64,0,0.0674
